,H,S,V
0,116,255,46
1,116,255,48
2,116,255,48
3,116,255,48
4,116,255,48
5,116,255,48
6,116,255,48
7,116,255,48
8,118,222,78
9,118,222,78
10,118,222,78
11,117,235,76
12,118,255,66
13,120,255,60
14,117,255,70
15,115,255,73
16,117,249,85
17,116,252,83
18,117,255,81
19,116,249,79
20,115,255,82
21,116,246,81
22,116,234,85
23,113,242,80
24,114,210,90
25,116,220,102
26,112,240,105
27,116,255,97
28,114,249,92
29,116,255,89
30,116,255,97
31,113,255,91
32,114,255,93
33,115,252,90
34,115,243,110
35,114,252,99
36,114,255,95
37,116,255,88
38,115,255,90
39,118,255,64
40,116,200,56
41,109,57,36
42,113,239,65
43,114,255,83
44,119,255,105
45,116,252,82
46,117,255,90
47,116,252,83
48,119,255,82
49,117,255,89
50,116,246,85
51,119,249,92
52,118,250,99
53,118,250,99
54,118,255,93
55,118,255,93
56,117,241,93
57,118,228,96
58,118,228,96
59,117,247,95
