,H,S,V
0,18,65,181
1,19,68,180
2,20,80,165
3,19,77,166
4,20,84,157
5,20,93,154
6,19,85,153
7,17,70,156
8,18,66,158
9,19,55,180
10,19,52,168
11,17,20,175
12,15,28,185
13,14,25,172
14,17,28,173
15,26,25,176
16,22,36,179
17,18,58,181
18,19,72,181
19,18,74,180
20,20,78,183
0,18,65,181
1,19,68,180
2,20,80,165
3,19,77,166
4,20,84,157
5,20,93,154
6,19,85,153
7,17,70,156
8,18,66,158
9,19,55,180
10,19,52,168
11,17,20,175
12,15,28,185
13,14,25,172
14,17,28,173
15,26,25,176
16,22,36,179
17,18,58,181
18,19,72,181
19,18,74,180
20,20,78,183
21,17,27,180
22,17,27,180
23,17,26,185
24,17,28,175
25,14,25,174
26,20,44,164
27,19,66,174
28,18,62,170
29,17,85,156
30,21,88,166
31,20,77,178
32,18,73,182
33,18,71,182
34,18,64,175
35,19,69,167
36,22,36,178
37,17,26,183
38,19,29,183
39,19,30,178
40,16,18,184
41,18,21,184
42,19,50,175
0,18,65,181
1,19,68,180
2,20,80,165
3,19,77,166
4,20,84,157
5,20,93,154
6,19,85,153
7,17,70,156
8,18,66,158
9,19,55,180
10,19,52,168
11,17,20,175
12,15,28,185
13,14,25,172
14,17,28,173
15,26,25,176
16,22,36,179
17,18,58,181
18,19,72,181
19,18,74,180
20,20,78,183
21,17,27,180
22,17,27,180
23,17,26,185
24,17,28,175
25,14,25,174
26,20,44,164
27,19,66,174
28,18,62,170
29,17,85,156
30,21,88,166
31,20,77,178
32,18,73,182
33,18,71,182
34,18,64,175
35,19,69,167
36,22,36,178
37,17,26,183
38,19,29,183
39,19,30,178
40,16,18,184
41,18,21,184
42,19,50,175
43,20,39,182
44,19,39,191
45,21,23,191
46,27,15,182
47,27,14,188
48,27,14,187
49,28,16,194
50,27,13,193
51,21,22,194
52,17,25,195
53,21,22,197
54,21,18,195
55,21,22,196
56,16,19,177
57,27,13,198
58,26,10,197
59,20,8,191
60,16,19,172
61,15,36,168
62,19,34,178
63,21,50,174
64,21,52,168
65,23,68,165
66,20,66,166
