,H,S,V
0,26,194,210
1,26,194,210
2,26,208,204
3,26,214,201
4,26,207,200
5,25,193,201
6,27,227,201
7,25,207,206
8,26,216,203
9,26,213,212
10,26,222,209
11,26,220,209
12,26,208,202
13,26,225,204
14,26,215,203
15,26,208,204
16,26,213,202
17,26,213,199
18,26,224,206
19,25,202,207
20,26,229,206
21,26,203,204
22,27,222,207
23,27,219,196
24,25,208,205
25,25,194,201
26,27,214,200
27,26,210,204
28,26,194,210
0,26,194,210
1,26,194,210
2,26,208,204
3,26,214,201
4,26,207,200
5,25,193,201
6,27,227,201
7,25,207,206
8,26,216,203
9,26,213,212
10,26,222,209
11,26,220,209
12,26,208,202
13,26,225,204
14,26,215,203
15,26,208,204
16,26,213,202
17,26,213,199
18,26,224,206
19,25,202,207
20,26,229,206
21,26,203,204
22,27,222,207
23,27,219,196
24,25,208,205
25,25,194,201
26,27,214,200
27,26,210,204
28,26,194,210
29,26,223,205
30,26,223,205
31,25,190,201
32,26,203,201
33,27,215,197
34,26,191,200
35,26,211,204
36,27,211,214
37,26,213,201
38,26,216,209
39,26,202,205
40,26,217,203
41,26,199,195
42,26,220,205
0,26,194,210
1,26,194,210
2,26,208,204
3,26,214,201
4,26,207,200
5,25,193,201
6,27,227,201
7,25,207,206
8,26,216,203
9,26,213,212
10,26,222,209
11,26,220,209
12,26,208,202
13,26,225,204
14,26,215,203
15,26,208,204
16,26,213,202
17,26,213,199
18,26,224,206
19,25,202,207
20,26,229,206
21,26,203,204
22,27,222,207
23,27,219,196
24,25,208,205
25,25,194,201
26,27,214,200
27,26,210,204
28,26,194,210
29,26,223,205
30,26,223,205
31,25,190,201
32,26,203,201
33,27,215,197
34,26,191,200
35,26,211,204
36,27,211,214
37,26,213,201
38,26,216,209
39,26,202,205
40,26,217,203
41,26,199,195
42,26,220,205
43,27,238,191
44,26,216,198
45,26,228,206
46,26,153,223
47,26,145,228
48,25,144,231
49,25,144,231
50,26,186,226
51,27,218,199
52,27,218,188
53,27,210,188
54,26,199,188
55,26,206,186
56,27,213,189
57,27,210,187
58,26,202,197
59,26,209,196
60,27,203,196
61,26,194,196
62,26,193,196
63,26,193,196
